Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S20911143,Greylag Goose,Anser anser,248,X,FR-A,,Michelbach--Lac de Michelbach,47.7579852,7.1207285,12-14-2014,04:00 PM,eBird - Stationary Count,60,1,,,2
S23980484,Greylag Goose,Anser anser,248,5,FR-A,,Michelbach--Lac de Michelbach,47.7579852,7.1207285,06-20-2015,10:56 AM,eBird - Stationary Count,5,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S24731595,Greylag Goose,Anser anser,248,10,FR-A,,Michelbach--Lac de Michelbach,47.7579852,7.1207285,08-23-2015,09:55 AM,eBird - Stationary Count,60,1,,,3,,,Submitted from  BirdLog Euro for Android v1.9.6
S22051263,Greylag Goose,Anser anser,248,20,IS-2,,Njarðvík--bay,63.9775613,-22.5370789,02-19-2015,01:00 PM,eBird - Stationary Count,20,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S23982514,Greylag Goose,Anser anser,248,4,FR-A,,RN de l'Île du Rohrschollen (RNN 133),48.5200155,7.8003788,06-20-2015,04:36 PM,eBird - Traveling Count,113,1,4,,3,,,Submitted from  BirdLog Euro for Android v1.9.6
S19891464,Greylag Goose,Anser anser,248,X,FR-A,,RNN de la Petite Camargue Alsacienne (RNN60),47.6215539,7.5389814,09-20-2014,03:30 PM,eBird - Traveling Count,150,1,5,,3,,,Avec Améline & Raphaël
S23350089,Greylag Goose,Anser anser,248,8,FR-A,,RNN de la Petite Camargue Alsacienne (RNN60),47.6215539,7.5389814,05-10-2015,09:31 AM,eBird - Traveling Count,162,1,3,,3,,,Submitted from  BirdLog Euro for Android v1.9.6
S19746232,Greylag Goose,Anser anser,248,X,IT-36,,Riserva Naturale della Valle Cavanata,45.7182856,13.4744847,09-02-2014,10:00 AM,eBird - Traveling Count,180,1,2,,2
S22872452,Greylag Goose,Anser anser,248,2,AT-9,,Rudolf-Nurejew-Promenade,48.2260164,16.4182413,04-15-2015,07:47 AM,eBird - Traveling Count,93,1,2,,1,,,Submitted from  BirdLog Euro for Android v1.9.6
S22052178,Greylag Goose,Anser anser,248,70,IS-1,,Seltjarnarnes--Bakkavík,64.154378,-22.0148849,02-19-2015,04:24 PM,eBird - Stationary Count,10,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S23771360,Greylag Goose,Anser anser,248,2,FR-U,,Vallée des Baux,43.6843842,4.7740746,06-04-2015,11:40 AM,eBird - Traveling Count,91,1,5,,2,,min,Submitted from  BirdLog Euro for Android v1.9.6
S21393605,Greylag Goose (Domestic type),Anser anser (Domestic type),251,2,CH-GE,,Geneva waterfront,46.2102417,6.1546,01-18-2015,11:20 AM,eBird - Stationary Count,45,1,,,3,,,avec Josué en visite sur lausanne-Bellegarde
S22051283,Greylag Goose (Domestic type),Anser anser (Domestic type),251,1,IS-1,,Hafnarfjörður--Lækur,64.0675644,-21.9472718,02-19-2015,01:00 PM,eBird - Stationary Count,10,1,,,2,,"<img src=""http://zoziologie.raphaelnussbaumer.com/wp-content/uploads/2015/03/DSC_0512.jpg"" />",Submitted from  BirdLog Euro for Android v1.9.6
S21180350,Greylag Goose (Domestic type),Anser anser (Domestic type),251,X,CH-VD,,ïle aux Oiseaux,46.507195,6.5358567,01-04-2015,08:42 AM,eBird - Traveling Count,45,1,1,,3,,,Submitted from  BirdLog Euro for Android v1.9.6
S23518791,Swan x Greylag Goose (Domestic type) (hybrid),Anser cygnoides x anser (Domestic type) (hybrid),251.5,1,CH-VD,,Embouchure de la Chamberonne,46.5171333,6.5867543,05-18-2015,08:54 AM,eBird - Casual Observation,0,1,,,1,,"This hybrid is well-known by local birder and called ""Klaxon"" (<a href=""http://www.ornitho.ch/index.php?m_id&#61;54&id&#61;8973471"">http://www.ornitho.ch/index.php?m_id&#61;54&id&#61;8973471</a>, <a href=""http://www.ornitho.ch/index.php?m_id&#61;54&mid&#61;306802"">http://www.ornitho.ch/index.php?m_id&#61;54&mid&#61;306802</a>)",Submitted from  BirdLog Euro for Android v1.9.6
S21328573,Swan x Greylag Goose (Domestic type) (hybrid),Anser cygnoides x anser (Domestic type) (hybrid),251.5,1,CH-VD,,ïle aux Oiseaux,46.507195,6.5358567,01-03-2015,02:00 PM,eBird - Stationary Count,15,1,,,1,,"with mute swans. Yellow bill with small tubercule shape. This hybrid is well-known called ""Klaxon"" by local birder (<a href=""http://www.ornitho.ch/index.php?m_id&#61;54&id&#61;8973471"">http://www.ornitho.ch/index.php?m_id&#61;54&id&#61;8973471</a>, <a href=""http://www.ornitho.ch/index.php?m_id&#61;54&mid&#61;306802"">http://www.ornitho.ch/index.php?m_id&#61;54&mid&#61;306802</a>)","lot of wind, impossible to see in the open water"
S19746102,Bar-headed Goose,Anser indicus,252,X,IT-36,,"Foce dell'Isonzo e Isola della Cona, Riserva Naturale",45.7554093,13.4990644,09-01-2014,12:00 PM,eBird - Traveling Count,240,1,4,,2,,"<img src=""https://lh5.googleusercontent.com/-ufv6BxNjkFg/VAseXL6d3-I/AAAAAAAAFF0/ULFMs43Dwyg/w684-h454-no/DSC_0226.JPG"" />"
S19331135,Bar-headed Goose,Anser indicus,252,1,DE-BY,,Munich--Englischer Garten south section,48.1542225,11.5930223,07-02-2013,,eBird - Casual Observation,0,0,,,,,I guess they must be imported by human. There are other recording of this species in the Garden in Munchen
S21166752,Bar-headed Goose,Anser indicus,252,3,FR-A,,Village-Neuf--barrage de Kembs,47.615468,7.573676,01-03-2015,03:30 PM,eBird - Traveling Count,60,1,1,,3,,"probably escaped  <img src=""https://lh5.googleusercontent.com/lrowgE4aYOnv5FfpJ22iSVIBhOiQMAW0AyZXE6jVYHE&#61;w338-h224-p-no"" />",on the way to Lausanne
S19304651,Brent Goose,Branta bernicla,261,X,GB-ENG,Hampshire,Farlington Marshes LNR,50.8338007,-1.0290456,02-02-2014,02:00 PM,eBird - Traveling Count,180,1,3,,3
S19938930,Barnacle Goose,Branta leucopsis,268,X,GB-ENG,London,London Wetland Centre WWT,51.479496,-.232569,09-25-2014,11:00 AM,eBird - Traveling Count,180,1,3,,1
S19331380,Barnacle Goose,Branta leucopsis,268,X,FR-V,,Above Villars-les-Dombes,46.0905513,5.0866699,09-22-2013,08:00 AM,eBird - Traveling Count,240,1,20,,2,,,On ramenait la voiture de Pit en alsace. On s'est arreté avec David
S23223407,Barnacle Goose,Branta leucopsis,268,2,CH-VD,,Embouchure de la Chamberonne,46.5171333,6.5867543,05-04-2015,,eBird - Casual Observation,0,0,,,1,,"escape species  http://www.ornitho.ch/index.php?m_id&#61;54&id&#61;9641907  <img src=""http://media.biolovision.net/www.ornitho.ch/2015-05/11346-9641907-4457.jpg"" />"
S23518791,Barnacle Goose,Branta leucopsis,268,2,CH-VD,,Embouchure de la Chamberonne,46.5171333,6.5867543,05-18-2015,08:54 AM,eBird - Casual Observation,0,1,,,1,,,Submitted from  BirdLog Euro for Android v1.9.6
S19330490,Barnacle Goose,Branta leucopsis,268,X,SE-I,,Gotland,57.4667183,18.4735107,05-17-2013,12:00 AM,eBird - Traveling Count,1440,1,200,,2,,,Avec Aurélie tour de l'ile avec une voiture loué
S23862501,Barnacle Goose,Branta leucopsis,268,2,CH-VD,,ïle aux Oiseaux,46.507195,6.5358567,06-06-2015,05:52 PM,eBird - Stationary Count,40,1,,,7,,,Submitted from  BirdLog Euro for Android v1.9.6
S19330408,Canada Goose,Branta canadensis,277,X,GB-ENG,Cambridgeshire,Langham Road,52.190767,.1534545,04-25-2013,,eBird - Casual Observation,0,1,,,,,,"du 22/4 au 10/05 au retour du canada, surprise pour ameline"
S19305455,Canada Goose,Branta canadensis,277,X,GB-WLS,Conwy,Conwy RSPB Reserve,53.2791271,-3.8040794,08-01-2014,09:00 AM,eBird - Traveling Count,90,1,1,,2
S19304900,Canada Goose,Branta canadensis,277,X,GB-ENG,Cumbria,Lake District National Park,54.515402,-3.1566811,03-24-2014,12:00 AM,eBird - Traveling Count,1440,1,98,,1,,,voyage de classe avec Imperial en hydrologie
S20772645,Canada Goose,Branta canadensis,277,X,GB-ENG,Derbyshire,Carsington Water,53.0587551,-1.6294098,12-10-2013,10:00 AM,eBird - Traveling Count,120,1,4,,4,,,visiting ben in Darby
S19304651,Canada Goose,Branta canadensis,277,X,GB-ENG,Hampshire,Farlington Marshes LNR,50.8338007,-1.0290456,02-02-2014,02:00 PM,eBird - Traveling Count,180,1,3,,3
S19304800,Canada Goose,Branta canadensis,277,X,GB-ENG,London,London Wetland Centre WWT,51.479496,-.232569,03-16-2014,02:00 PM,eBird - Traveling Count,180,1,3,,2
S19938930,Canada Goose,Branta canadensis,277,X,GB-ENG,London,London Wetland Centre WWT,51.479496,-.232569,09-25-2014,11:00 AM,eBird - Traveling Count,180,1,3,,1
S22614400,Canada Goose,Branta canadensis,277,X,GB-ENG,London,London Wetland Centre WWT,51.479496,-.232569,03-31-2015,11:00 AM,eBird - Traveling Count,120,1,1.2,,2,,,"- <b>Weather:</b> 10°C, moderate to strong wind, sunny, no rain.  - <b>Effort:</b> Start counting all species, but impossible to have any good estimate, every location reveal new individu which might or might not be already count.  - <b>Location:</b> North (green) and South (blue) path. <a href=""http://www.wwt.org.uk/uploads/documents/1337783704_WWTLondonMAPnew.pdf"">View WWT London map.</a>  <img src=""http://api.tiles.mapbox.com/v4/rafnuss.lhm42ih3/-0.232466,51.478827,15/600x300.png?access_token&#61;pk.eyJ1IjoicmFmbnVzcyIsImEiOiIzMVE1dnc0In0.3FNMKIlQ_afYktqki-6m0g"" alt=""Mapbox Map of -0.232466,51.478827"" />  <a href=""https://www.mapbox.com/about/maps/"">© Mapbox © OpenStreetMap</a>  - <b>Other species:</b> <a href=""http://www.wwt.org.uk/news/all-news/2015/03/wwt-london-sightings/wildlife-sightings-for-31st-march-2015/"">View WWT post of the day</a> (1 Peregrine, 2 Red-Creasted Pochard)"
S22610942,Canada Goose,Branta canadensis,277,14,GB-ENG,London,Path along Thames - near WWT London,51.4825321,-.2271938,03-31-2015,09:50 AM,eBird - Traveling Count,50,1,1.3,,2,,,"- <b>Weather:</b> 10°C, moderate wind (more on the Thames, less on the path)   - <b>Effort:</b> Walk with very few stop.  - <b>Path:</b> walk from Hammersmith bridge to WWT London (purple path)  <img src=""http://api.tiles.mapbox.com/v4/rafnuss.lhm42ih3/-0.227375,51.483317,14/600x300.png?access_token&#61;pk.eyJ1IjoicmFmbnVzcyIsImEiOiIzMVE1dnc0In0.3FNMKIlQ_afYktqki-6m0g"" alt=""Mapbox Map of -0.227375, 51.483317"" />  <a href=""https://www.mapbox.com/about/maps/"">© Mapbox © OpenStreetMap</a>"
S22614474,Canada Goose,Branta canadensis,277,18,GB-ENG,London,Sport field -- near WWT London,51.4738187,-.228492,03-31-2015,10:45 AM,eBird - Stationary Count,5,1,,,2,,,"- <b>Weather:</b> 10°C, strong wind  - <b>Effort:</b> stop an count all visible gull and goose  - <b>Location:</b> Sport field"
S19304829,Canada Goose,Branta canadensis,277,X,GB-ENG,Oxfordshire,Oxford University Parks,51.7611999,-1.2523556,03-24-2014,11:00 AM,eBird - Casual Observation,0,1,,,1
S18436966,Canada Goose,Branta canadensis,277,10,CA-SK,Saskatoon,East of Saskatoon,52.1165993,-106.5565681,05-17-2014,04:00 PM,eBird - Casual Observation,0,1,,,1,,,running along the lacks
S18544905,Canada Goose,Branta canadensis,277,63,CA-SK,Saskatoon,south east saskatoon,51.9425718,-106.3833618,05-24-2014,06:30 AM,eBird - Traveling Count,480,1,320,,2,,,part of the saskatoon nature societe bird count (group SE2B) http://www.saskatoonnaturesociety.sk.ca/fieldnotes/birdcount-may2014-short.pdf
S19305121,Canada Goose,Branta canadensis,277,X,GB-ENG,Surrey,Staines Moor,51.4483421,-.512522,05-11-2014,02:00 PM,eBird - Traveling Count,180,1,5,,3,,,avec David et Ameline on est allé dire au revoir à Steve à l'aeroport puis aller voire le truc en bas
S22544047,Canada Goose,Branta canadensis,277,75,CA-ON,Waterloo,Camping site,43.4864001,-80.5896521,03-27-2015,12:45 PM,eBird - Stationary Count,10,1,,,2
S22577974,Canada Goose,Branta canadensis,277,X,CA-ON,Waterloo,Conrad Grebel College,43.4668587,-80.5455351,03-29-2015,,eBird - Casual Observation,0,0
S22544463,Canada Goose,Branta canadensis,277,4,CA-ON,Waterloo,Conservation Dr Lake 2,43.4908759,-80.5800444,03-27-2015,12:00 PM,eBird - Traveling Count,10,1,.5,,2
S22544110,Canada Goose,Branta canadensis,277,11,CA-ON,Waterloo,Feeder in Residential area,43.4826247,-80.5870128,03-27-2015,01:00 PM,eBird - Stationary Count,5,1,,,2
S22543866,Canada Goose,Branta canadensis,277,21,CA-ON,Waterloo,University of Waterloo,43.4693659,-80.5520153,03-27-2015,09:30 AM,eBird - Stationary Count,15,1,,,2,,in flight (flock of 17),"- <b>Weather:</b> -5°C, very light snow occasionally   - <b>Effort:</b> Counted all individual species."
S22543919,Canada Goose,Branta canadensis,277,104,CA-ON,Waterloo,Waterloo--Columbia Lake,43.4737262,-80.555706,03-27-2015,10:00 AM,eBird - Stationary Count,15,1,,,2,,,"- <b>Weather:</b> -5°C, very light snow occasionally  - <b>Path:</b> Walk around the lake (East of the lake). Also counted geese on the grass in this hotspot.   - <b>Effort:</b> Counted all individual species.    - <b>Birds:</b> Most birds were at the Northern, unfrozen part of the lake (not visible from the road)."
S22544206,Canada Goose,Branta canadensis,277,250,CA-ON,Waterloo,Waterloo--Laurel Creek CA (tower area),43.4782513,-80.5822543,03-27-2015,01:10 PM,eBird - Stationary Count,10,1,,,2,,"count individual up to 237, 250 is a lowest estimate.","- <b>Weather:</b> -5°C, very light snow occasionally  - <b>Spot:</b> From observation tower & side of the road   - <b>Effort:</b> Estimated as best as possible, difficult to see birds inside river or ditch."
S19305396,Canada Goose,Branta canadensis,277,X,GB-ENG,West Midlands,Sandwell Valley RSPB Reserve,52.5314697,-1.9507599,07-31-2014,12:00 PM,eBird - Traveling Count,120,1,2,,2
S19331380,Canada Goose,Branta canadensis,277,X,FR-V,,Above Villars-les-Dombes,46.0905513,5.0866699,09-22-2013,08:00 AM,eBird - Traveling Count,240,1,20,,2,,,On ramenait la voiture de Pit en alsace. On s'est arreté avec David
S23982514,Canada Goose,Branta canadensis,277,4,FR-A,,RN de l'Île du Rohrschollen (RNN 133),48.5200155,7.8003788,06-20-2015,04:36 PM,eBird - Traveling Count,113,1,4,,3,,,Submitted from  BirdLog Euro for Android v1.9.6
S19305455,Mute Swan,Cygnus olor,296,X,GB-WLS,Conwy,Conwy RSPB Reserve,53.2791271,-3.8040794,08-01-2014,09:00 AM,eBird - Traveling Count,90,1,1,,2
S19305250,Mute Swan,Cygnus olor,296,X,GB-WLS,Gwynedd,"Tonfanau, Aber Dysynni estuary",52.6114393,-4.1272545,07-31-2014,06:00 AM,eBird - Traveling Count,180,1,5,,2,,,"Avec David, Benoit et Ameline. on the birdtrip !!!"
S19304651,Mute Swan,Cygnus olor,296,X,GB-ENG,Hampshire,Farlington Marshes LNR,50.8338007,-1.0290456,02-02-2014,02:00 PM,eBird - Traveling Count,180,1,3,,3
S19304800,Mute Swan,Cygnus olor,296,X,GB-ENG,London,London Wetland Centre WWT,51.479496,-.232569,03-16-2014,02:00 PM,eBird - Traveling Count,180,1,3,,2
S19938930,Mute Swan,Cygnus olor,296,X,GB-ENG,London,London Wetland Centre WWT,51.479496,-.232569,09-25-2014,11:00 AM,eBird - Traveling Count,180,1,3,,1
S22614400,Mute Swan,Cygnus olor,296,X,GB-ENG,London,London Wetland Centre WWT,51.479496,-.232569,03-31-2015,11:00 AM,eBird - Traveling Count,120,1,1.2,,2,,,"- <b>Weather:</b> 10°C, moderate to strong wind, sunny, no rain.  - <b>Effort:</b> Start counting all species, but impossible to have any good estimate, every location reveal new individu which might or might not be already count.  - <b>Location:</b> North (green) and South (blue) path. <a href=""http://www.wwt.org.uk/uploads/documents/1337783704_WWTLondonMAPnew.pdf"">View WWT London map.</a>  <img src=""http://api.tiles.mapbox.com/v4/rafnuss.lhm42ih3/-0.232466,51.478827,15/600x300.png?access_token&#61;pk.eyJ1IjoicmFmbnVzcyIsImEiOiIzMVE1dnc0In0.3FNMKIlQ_afYktqki-6m0g"" alt=""Mapbox Map of -0.232466,51.478827"" />  <a href=""https://www.mapbox.com/about/maps/"">© Mapbox © OpenStreetMap</a>  - <b>Other species:</b> <a href=""http://www.wwt.org.uk/news/all-news/2015/03/wwt-london-sightings/wildlife-sightings-for-31st-march-2015/"">View WWT post of the day</a> (1 Peregrine, 2 Red-Creasted Pochard)"
S22610942,Mute Swan,Cygnus olor,296,4,GB-ENG,London,Path along Thames - near WWT London,51.4825321,-.2271938,03-31-2015,09:50 AM,eBird - Traveling Count,50,1,1.3,,2,,,"- <b>Weather:</b> 10°C, moderate wind (more on the Thames, less on the path)   - <b>Effort:</b> Walk with very few stop.  - <b>Path:</b> walk from Hammersmith bridge to WWT London (purple path)  <img src=""http://api.tiles.mapbox.com/v4/rafnuss.lhm42ih3/-0.227375,51.483317,14/600x300.png?access_token&#61;pk.eyJ1IjoicmFmbnVzcyIsImEiOiIzMVE1dnc0In0.3FNMKIlQ_afYktqki-6m0g"" alt=""Mapbox Map of -0.227375, 51.483317"" />  <a href=""https://www.mapbox.com/about/maps/"">© Mapbox © OpenStreetMap</a>"
S19304829,Mute Swan,Cygnus olor,296,X,GB-ENG,Oxfordshire,Oxford University Parks,51.7611999,-1.2523556,03-24-2014,11:00 AM,eBird - Casual Observation,0,1,,,1
S19305121,Mute Swan,Cygnus olor,296,X,GB-ENG,Surrey,Staines Moor,51.4483421,-.512522,05-11-2014,02:00 PM,eBird - Traveling Count,180,1,5,,3,,,avec David et Ameline on est allé dire au revoir à Steve à l'aeroport puis aller voire le truc en bas
S19305396,Mute Swan,Cygnus olor,296,X,GB-ENG,West Midlands,Sandwell Valley RSPB Reserve,52.5314697,-1.9507599,07-31-2014,12:00 PM,eBird - Traveling Count,120,1,2,,2
S19304617,Mute Swan,Cygnus olor,296,X,GB-ENG,West Sussex,WWT Arundel Wetland Centre,50.8626793,-.5493593,02-02-2014,08:00 AM,eBird - Traveling Count,240,1,2,,3
S21831188,Mute Swan,Cygnus olor,296,X,CH-VD,,Bais du Temple,46.5139586,6.5049791,02-14-2015,02:00 PM,eBird - Traveling Count,30,1,.5,,2
S23796246,Mute Swan,Cygnus olor,296,5,CH-GE,,Barrage de Verbois,46.1928735,6.0282326,06-05-2015,07:15 PM,eBird - Stationary Count,10,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S19330970,Mute Swan,Cygnus olor,296,X,DE-BY,,Bavaria,47.6287194,10.0483704,07-01-2013,,eBird - Casual Observation,0,1
S23752355,Mute Swan,Cygnus olor,296,X,FR-U,,Camargue--Beauduc,43.4009006,4.5962763,06-02-2015,03:59 PM,eBird - Traveling Count,117,1,15,,3,,,Submitted from  BirdLog Euro for Android v1.9.6
S23751412,Mute Swan,Cygnus olor,296,X,FR-U,,Camargue--Marais du Grenouillet,43.5139187,4.6577096,06-02-2015,10:39 AM,eBird - Stationary Count,60,1,,,3,,,Submitted from  BirdLog Euro for Android v1.9.6
S20974562,Mute Swan,Cygnus olor,296,X,CH-VD,,Chablais de Cudrefin,46.9749741,7.042923,12-20-2014,03:15 PM,eBird - Traveling Count,60,1,5,,3,,,Avec Améline & Raphaël sur la route d'Alsace !
S21301862,Mute Swan,Cygnus olor,296,X,CH-VD,,Chablais de Cudrefin,46.9749741,7.042923,01-11-2015,01:00 PM,eBird - Traveling Count,60,1,2,,2
S24731607,Mute Swan,Cygnus olor,296,X,CH-VD,,Chablais de Cudrefin,46.9749741,7.042923,08-23-2015,01:53 PM,eBird - Traveling Count,120,1,2,,1,,,Submitted from  BirdLog Euro for Android v1.9.6
S21612302,Mute Swan,Cygnus olor,296,1,CH-VD,,Champ Pittet,46.7847663,6.6667593,01-31-2015,03:00 PM,eBird - Traveling Count,30,1,.5,,2
S22655564,Mute Swan,Cygnus olor,296,X,CH-VD,,Champ Pittet,46.7847663,6.6667593,04-03-2015,12:38 PM,eBird - Traveling Count,75,1,1.5,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S23796236,Mute Swan,Cygnus olor,296,2,CH-VD,,Champ Pittet,46.7847663,6.6667593,06-06-2015,09:52 AM,eBird - Stationary Count,78,1,,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S20801845,Mute Swan,Cygnus olor,296,2,CH-VD,,Chavornay gravel pits,46.7199382,6.5661764,12-06-2014,11:16 AM,eBird - Traveling Count,110,1,2,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S20974068,Mute Swan,Cygnus olor,296,4,CH-VD,,Chavornay gravel pits,46.7199382,6.5661764,12-20-2014,10:30 AM,eBird - Traveling Count,60,1,1,,3,,,Avec Améline & Raphaël sur la route d'Alsace !
S22654549,Mute Swan,Cygnus olor,296,2,CH-VD,,Chavornay gravel pits,46.7199382,6.5661764,04-03-2015,09:48 AM,eBird - Traveling Count,60,1,.5,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S23035436,Mute Swan,Cygnus olor,296,1,CH-VD,,Chavornay gravel pits,46.7199382,6.5661764,04-24-2015,08:29 PM,eBird - Traveling Count,60,1,.5,,2,,,Submitted from  BirdLog Euro for Android v1.9.6
S23439311,Mute Swan,Cygnus olor,296,5,CH-VD,,Chavornay gravel pits,46.7199382,6.5661764,05-14-2015,01:30 PM,eBird - Traveling Count,90,1,2,,2,NB {0}--Nest Building,,Submitted from  BirdLog Euro for Android v1.9.6
